Anchorage Datetime,"Annual Capacity (M, Tons)",Berth Draft,Berth Vessel Size,Berthing Datetime,Commodity_Code,"Cost(USD, M)",Dead Wight,GRT,IMO NO,LOA,Last Port_Code,MMSI NO,Nationality_Code,Operation Year,S#.,Sailing Datetime,Ship Name_Code,Shipping Agent_Code,Total Port Time (hrs),Type_Code,Waiting Time (hrs)
2025-02-05 06:13:23.911083,0.0971826292448763,0.666666666666667,0.0,2025-02-06 08:59:52.188204,1,0.7384373398370535,0.0293900455057431,0.3263692066990775,9463279.0,0.925161930840568,168,636091189.0,44,2010,42707,2025-02-06 12:19:31.383007,199,29,30.1020755345804,0,26.774521422571816
2020-10-28 00:05:18.321467,0.6816155491540075,0.666666666666667,0.0,2020-10-29 18:15:06.498133,1,0.4804093102168495,0.0372542885811518,0.10475965554247,9322815.0,0.626628496077066,194,477615500.0,4,1997,22840,2020-10-29 18:23:31.475696,751,28,42.3036539522684,0,42.16338240711767
2019-11-25 18:20:49,0.0045234016748415,0.0,0.0,2019-11-27 00:01:26,6,0.4167859604474842,0.0676232602434643,0.1637237686754859,9964106.0,0.365170937772543,189,538003445.0,51,2017,5933,2019-11-27 03:34:49,1773,50,33.2335844425,0,29.677179911111114
2020-06-08 20:32:30.918672,0.4561463989927928,0.3333333333333335,0.2655367231638418,2020-06-09 23:57:19.508684,8,1.0,0.0995118806359747,0.1799608122296326,9353266.0,0.893131349868813,90,477066700.0,42,2015,23733,2020-06-10 16:03:59.862645,1188,5,43.52470665905516,0,27.41349722555301
2022-11-28 02:01:21.910874,0.9839704573830776,0.0,0.3785310734463277,2022-11-28 04:26:36.267922,1,0.469805418588622,0.0178192718566446,0.032089553294713,9919761.0,0.5549833321889018,150,477110600.0,50,2017,38061,2022-11-28 05:49:27.972576,132,3,3.801683806006268,0,2.420654735527453
2024-11-09 20:25:38,0.1872965759516364,1.0,1.0,2024-11-10 10:53:59,9,0.3354894579644062,0.0525975451882393,0.0484313954039356,9756626.0,0.9786266889139852,222,636017706.0,54,1997,15712,2024-11-10 12:22:00,970,19,15.939593272777778,0,14.47266967472222
2022-10-20 06:29:24.002974,0.6452255728563302,1.0,0.0,2022-10-22 04:07:01.117815,1,0.3460933495926338,0.0927227727211067,0.0296875713310178,9274276.0,0.5079172696270358,300,441301000.0,51,2010,43755,2022-10-22 06:22:29.617172,748,31,47.88489283290494,0,45.62697634472897
2021-11-09 21:05:47.162010,0.1180833192158748,0.0,0.3502824858757062,2021-11-11 14:28:54.104496,9,0.0,0.0546487426647987,0.0191662757595899,9780536.0,0.922492147992417,158,636021450.0,41,2010,43122,2021-11-11 15:56:23.575255,1450,69,42.84344812363216,0,41.385261801604855
2024-07-29 02:23:40.536567,0.9710592389798608,0.3333333333333335,0.4915254237288137,2024-07-30 15:22:55.930634,2,0.2612622165668133,0.0573151686798112,0.1097343874330045,9366940.0,0.5365890336987721,293,636013353.0,47,1997,28138,2024-07-31 07:02:57.071555,625,26,52.65459305218582,0,36.98760946301558
2021-07-16 01:58:53.839590,0.9677908990045035,0.666666666666667,0.3502824858757062,2021-07-16 02:58:23.544059,7,0.3460933495926338,0.060593542234273,0.1494782248515898,9493975.0,0.4633538223905861,256,518998425.0,48,1997,30725,2021-07-16 06:59:03.800792,1191,26,5.002767000490063,0,0.9915845747312736
2021-06-30 12:42:24.345517,0.9947166605041412,0.666666666666667,0.0,2021-07-01 10:12:56.420981,1,1.0,0.0425114714359,0.2236586635551419,9424596.0,0.5141868246152935,288,636023631.0,48,2017,31720,2021-07-01 22:06:51.843675,1006,2,33.40763837716562,0,21.508909851096035
2021-12-12 08:26:21.665530,0.6778153247839108,0.0,0.7457627118644069,2021-12-13 19:33:48.389034,1,1.0,0.0569386311714806,0.1506916832431153,9410131.0,0.6524508481179924,327,636022465.0,38,2017,44944,2021-12-13 21:52:13.157396,1327,32,37.430969962740754,0,35.124089862262885
2024-02-09 11:34:36.288607,0.9823033780294592,0.0,0.3502824858757062,2024-02-10 07:11:26.432806,1,0.0,0.1331054316124909,0.092438273605314,9585326.0,0.9551623687799572,133,56316680.0,39,2017,37127,2024-02-10 08:13:53.533257,450,4,20.65479018048857,0,19.61392894405393
2024-03-20 17:46:03.283567,0.1069476424438566,1.0,0.3785310734463277,2024-03-20 18:08:14.854743,3,0.469805418588622,0.0400133212790705,0.1085651255606137,9741530.0,0.4788175009989026,196,211776000.0,50,1997,25235,2024-03-20 20:17:35.968361,174,2,2.525745776107171,0,0.3698808823182382
2022-02-01 16:41:09.997806,0.4134799183672331,0.666666666666667,0.7457627118644069,2022-02-01 20:42:59.809425,1,0.4167859604474842,0.0725662711506429,0.0161645573655258,9560376.0,0.604866933897564,84,352003111.0,31,1981,33394,2022-02-01 23:18:17.768055,1854,64,6.618825069302819,1,4.030503227607197
2024-01-06 09:05:02.844636,0.4595522094802125,0.3333333333333335,0.3785310734463277,2024-01-07 06:04:59.075303,7,1.0,0.1373816285603064,0.2108029888949808,9922237.0,0.6347795001252323,243,403639000.0,32,2007,33846,2024-01-07 07:06:04.186263,703,54,22.01703934081917,0,20.998952962917187
2021-10-12 12:38:23.371742,0.4493769811746817,0.666666666666667,0.7457627118644069,2021-10-14 08:15:31.526917,1,0.4804093102168495,0.1070239085691214,0.1176887477432786,9340702.0,0.4047441060716045,301,538009231.0,33,2010,29414,2021-10-14 09:42:09.746582,1786,58,45.06288190017551,0,43.61893199312525
2022-10-07 17:52:28.565562,0.4281330753651605,0.0,0.3785310734463277,2022-10-07 20:49:27.653225,1,0.3354894579644062,0.0348182957869677,0.108605039702243,9451329.0,0.5822730995317441,266,356447000.0,50,2010,29000,2022-10-08 03:38:50.505385,46,28,9.772761062003193,0,2.949746572981395
2020-02-11 12:42:57.722319,0.6177386846800781,0.0,0.3785310734463277,2020-02-12 06:26:32.484613,1,0.3460933495926338,0.0844926299168458,0.1519360974194798,9708382.0,0.5746477498716276,144,636093156.0,50,2010,40970,2020-02-12 09:45:11.454709,1778,29,21.037147886157587,0,17.72632285958202
2021-02-02 15:42:27.495160,0.97160945760232,1.0,0.3502824858757062,2021-02-02 18:21:19.764633,0,0.469805418588622,0.1180087420094793,0.1791306145959051,9315915.0,1.075782400176442,142,209605000.0,47,1997,44749,2021-02-02 19:15:43.173050,468,4,3.554354969412035,0,2.647852631354608
